x,y
-2.996569,0.79843
-2.961007,0.770601
-2.931114,0.797063
-2.840784,0.849492
-2.807399,0.821264
-2.652449,0.735018
-2.584725,0.653325
-2.521248,0.525938
-2.478367,0.379846
-2.454544,0.403704
-2.419702,0.338988
-2.229651,0.201952
-2.082964,0.53928
-2.067123,0.592486
-1.973168,0.9073
-1.793094,1.222062
-1.742958,1.284869
-1.678696,1.194377
-1.677356,1.157678
-1.660736,1.182434
-1.651816,1.161957
-1.520235,0.872201
-1.419666,0.617745
-1.399049,0.587607
-1.398133,0.635193
-1.332158,0.516646
-1.263672,0.464707
-1.209331,0.429781
-1.107282,0.490709
-0.971487,0.475715
-0.723267,-0.0234
-0.710284,-0.039185
-0.626209,-0.243485
-0.603597,-0.31982
-0.468469,-0.50259
-0.461172,-0.515239
-0.391408,-0.49239
-0.371399,-0.467542
-0.277658,-0.180265
-0.148306,0.136573
-0.084057,0.33311
0.003517,0.533366
0.032132,0.539648
0.057158,0.655039
0.182122,0.506572
0.217369,0.513539
0.221822,0.4353
0.269649,0.467804
0.312244,0.376275
0.368209,0.332458
0.464113,0.280532
0.654786,0.503903
0.764676,0.639671
0.814107,0.627474
0.836561,0.663591
0.899268,0.668614
1.107686,-0.049428
1.227431,-0.407956
1.378391,-0.721926
1.379586,-0.653084
1.418827,-0.718014
1.575065,-0.521449
1.752476,-0.124574
1.834916,-0.040102
1.976428,-0.083478
2.057112,-0.076095
2.084966,-0.132174
2.164678,-0.095444
2.223111,0.030015
2.234598,-0.021685
2.258206,0.004965
2.268058,0.051705
2.272331,0.060273
2.386937,0.371651
2.487286,0.609758
2.574592,0.855483
2.657458,0.980097
2.743278,0.934905
2.93714,0.473905
2.976728,0.302118
